exp,run,semilla,steps,stiter,k,lambda,tiempo_ms,coste
3,7,13438,5000,100,1,0.1,182.00,2197.06
3,7,13438,5000,100,1,0.5,74.00,2325.45
3,7,13438,5000,100,5,0.001,206.00,2221.24
3,7,13438,5000,100,5,0.01,213.00,2240.35
3,7,13438,5000,100,5,0.1,150.00,2250.72
3,7,13438,5000,100,5,0.5,81.00,2300.85
3,7,13438,5000,100,10,0.001,209.00,2281.83
3,7,13438,5000,100,10,0.01,204.00,2238.97
3,7,13438,5000,100,10,0.1,203.00,2215.27
3,7,13438,5000,100,10,0.5,78.00,2366.41
3,7,13438,5000,100,25,0.001,223.00,2349.83
3,7,13438,5000,100,25,0.01,194.00,2226.84
3,7,13438,5000,100,25,0.1,241.00,2259.85
3,7,13438,5000,100,25,0.5,78.00,2360.75
3,7,13438,10000,100,1,0.001,265.00,2223.60
3,7,13438,10000,100,1,0.01,283.00,2219.17
3,7,13438,10000,100,1,0.1,220.00,2219.20
3,7,13438,10000,100,1,0.5,79.00,2271.26
3,7,13438,10000,100,5,0.001,306.00,2199.07
3,7,13438,10000,100,5,0.01,294.00,2230.91
3,7,13438,10000,100,5,0.1,243.00,2232.48
3,7,13438,10000,100,5,0.5,73.00,2336.70
3,7,13438,10000,100,10,0.001,286.00,2230.95
3,7,13438,10000,100,10,0.01,346.00,2214.35
3,7,13438,10000,100,10,0.1,223.00,2213.06
3,7,13438,10000,100,10,0.5,77.00,2300.34
3,7,13438,10000,100,25,0.001,298.00,2257.07
3,7,13438,10000,100,25,0.01,285.00,2255.16
3,7,13438,10000,100,25,0.1,293.00,2254.78
3,7,13438,10000,100,25,0.5,82.00,2384.18
3,8,1695,1000,100,1,0.001,64.00,2453.07
3,8,1695,1000,100,1,0.01,59.00,2435.55
3,8,1695,1000,100,1,0.1,60.00,2408.75
3,8,1695,1000,100,1,0.5,59.00,2389.06
3,8,1695,1000,100,5,0.001,58.00,2469.19
3,8,1695,1000,100,5,0.01,59.00,2473.11
3,8,1695,1000,100,5,0.1,61.00,2448.89
3,8,1695,1000,100,5,0.5,62.00,2433.59
3,8,1695,1000,100,10,0.001,68.00,2628.41
3,8,1695,1000,100,10,0.01,64.00,2476.38
3,8,1695,1000,100,10,0.1,64.00,2466.09
3,8,1695,1000,100,10,0.5,57.00,2491.25
3,8,1695,1000,100,25,0.001,63.00,2664.22
3,8,1695,1000,100,25,0.01,60.00,2463.81
3,8,1695,1000,100,25,0.1,66.00,2577.85
3,8,1695,1000,100,25,0.5,66.00,2513.08
3,8,1695,5000,100,1,0.001,258.00,2271.69
3,8,1695,5000,100,1,0.01,190.00,2263.58
3,8,1695,5000,100,1,0.1,168.00,2281.37
3,8,1695,5000,100,1,0.5,91.00,2403.36
3,8,1695,5000,100,5,0.001,213.00,2298.89
3,8,1695,5000,100,5,0.01,165.00,2295.22
3,8,1695,5000,100,5,0.1,192.00,2297.32
3,8,1695,5000,100,5,0.5,84.00,2372.57
3,8,1695,5000,100,10,0.001,171.00,2299.51
3,8,1695,5000,100,10,0.01,163.00,2290.16
3,8,1695,5000,100,10,0.1,189.00,2299.90
3,8,1695,5000,100,10,0.5,82.00,2359.72
3,8,1695,5000,100,25,0.001,240.00,2361.71
3,8,1695,5000,100,25,0.01,195.00,2306.68
3,8,1695,5000,100,25,0.1,236.00,2270.58
3,8,1695,5000,100,25,0.5,88.00,2400.19
3,8,1695,10000,100,1,0.001,274.00,2266.91
3,8,1695,10000,100,1,0.01,267.00,2257.06
3,8,1695,10000,100,1,0.1,269.00,2269.59
3,8,1695,10000,100,1,0.5,86.00,2450.21
3,8,1695,10000,100,5,0.001,324.00,2245.34
3,8,1695,10000,100,5,0.01,288.00,2249.45
3,8,1695,10000,100,5,0.1,242.00,2292.33
3,8,1695,10000,100,5,0.5,88.00,2402.19
3,8,1695,10000,100,10,0.001,276.00,2266.04
3,8,1695,10000,100,10,0.01,288.00,2261.23
3,8,1695,10000,100,10,0.1,235.00,2270.50
3,8,1695,10000,100,10,0.5,87.00,2399.89
3,8,1695,10000,100,25,0.001,285.00,2265.60
3,8,1695,10000,100,25,0.01,279.00,2375.49
3,8,1695,10000,100,25,0.1,269.00,2315.15
3,8,1695,10000,100,25,0.5,85.00,2542.13
3,9,26828,1000,100,1,0.001,58.00,2755.72
3,9,26828,1000,100,1,0.01,61.00,2724.28
3,9,26828,1000,100,1,0.1,60.00,2800.73
3,9,26828,1000,100,1,0.5,59.00,2757.86
3,9,26828,1000,100,5,0.001,57.00,2695.33
3,9,26828,1000,100,5,0.01,64.00,2765.63
3,9,26828,1000,100,5,0.1,64.00,2804.78
3,9,26828,1000,100,5,0.5,59.00,2751.11
3,9,26828,1000,100,10,0.001,57.00,2937.93
3,9,26828,1000,100,10,0.01,60.00,2811.79
3,9,26828,1000,100,10,0.1,61.00,2846.70
3,9,26828,1000,100,10,0.5,64.00,2757.38
3,9,26828,1000,100,25,0.001,60.00,3009.42
3,9,26828,1000,100,25,0.01,59.00,2901.31
3,9,26828,1000,100,25,0.1,62.00,2824.48
3,9,26828,1000,100,25,0.5,58.00,2988.61
3,9,26828,5000,100,1,0.001,153.00,2632.16
3,9,26828,5000,100,1,0.01,221.00,2653.48
3,9,26828,5000,100,1,0.1,193.00,2643.81
3,9,26828,5000,100,1,0.5,82.00,2718.75
3,9,26828,5000,100,5,0.001,179.00,2599.58
3,9,26828,5000,100,5,0.01,187.00,2684.11
3,9,26828,5000,100,5,0.1,173.00,2660.84
3,9,26828,5000,100,5,0.5,74.00,2767.40
3,9,26828,5000,100,10,0.001,202.00,2677.65
3,9,26828,5000,100,10,0.01,223.00,2652.44
3,9,26828,5000,100,10,0.1,211.00,2659.42
3,9,26828,5000,100,10,0.5,88.00,2717.52
3,9,26828,5000,100,25,0.001,249.00,2662.61
3,9,26828,5000,100,25,0.01,189.00,2635.65
3,9,26828,5000,100,25,0.1,219.00,2664.53
3,9,26828,5000,100,25,0.5,79.00,2764.62
3,9,26828,10000,100,1,0.001,340.00,2640.52
3,9,26828,10000,100,1,0.01,290.00,2603.24
3,9,26828,10000,100,1,0.1,274.00,2587.90
3,9,26828,10000,100,1,0.5,82.00,2715.48
3,9,26828,10000,100,5,0.001,280.00,2598.16
3,9,26828,10000,100,5,0.01,291.00,2594.86
3,9,26828,10000,100,5,0.1,275.00,2579.66
3,9,26828,10000,100,5,0.5,76.00,2758.81
3,9,26828,10000,100,10,0.001,312.00,2622.16
3,9,26828,10000,100,10,0.01,272.00,2586.66
3,9,26828,10000,100,10,0.1,247.00,2667.03
3,9,26828,10000,100,10,0.5,87.00,2734.74
3,9,26828,10000,100,25,0.001,308.00,2628.63
3,9,26828,10000,100,25,0.01,309.00,2618.86
3,9,26828,10000,100,25,0.1,232.00,2679.79
3,9,26828,10000,100,25,0.5,79.00,2778.44
3,10,18337,1000,100,1,0.001,57.00,2467.98
3,10,18337,1000,100,1,0.01,58.00,2486.40
3,10,18337,1000,100,1,0.1,73.00,2487.12
3,10,18337,1000,100,1,0.5,72.00,2489.85
3,10,18337,1000,100,5,0.001,60.00,2535.44
3,10,18337,1000,100,5,0.01,60.00,2506.67
3,10,18337,1000,100,5,0.1,62.00,2479.19
3,10,18337,1000,100,5,0.5,68.00,2523.70
3,10,18337,1000,100,10,0.001,66.00,2594.69
3,10,18337,1000,100,10,0.01,62.00,2507.61
3,10,18337,1000,100,10,0.1,58.00,2455.23
3,10,18337,1000,100,10,0.5,63.00,2507.77
3,10,18337,1000,100,25,0.001,64.00,2649.16
3,10,18337,1000,100,25,0.01,61.00,2617.46
3,10,18337,1000,100,25,0.1,64.00,2582.84
3,10,18337,1000,100,25,0.5,61.00,2638.28
3,10,18337,5000,100,1,0.001,218.00,2346.55
3,10,18337,5000,100,1,0.01,157.00,2329.94
3,10,18337,5000,100,1,0.1,171.00,2327.08
3,10,18337,5000,100,1,0.5,73.00,2411.33
3,10,18337,5000,100,5,0.001,180.00,2378.37
3,10,18337,5000,100,5,0.01,164.00,2367.45
3,10,18337,5000,100,5,0.1,161.00,2321.52
3,10,18337,5000,100,5,0.5,68.00,2468.90
3,10,18337,5000,100,10,0.001,207.00,2366.79
3,10,18337,5000,100,10,0.01,143.00,2318.90
3,10,18337,5000,100,10,0.1,174.00,2319.67
3,10,18337,5000,100,10,0.5,78.00,2479.14
3,10,18337,5000,100,25,0.001,206.00,2431.33
3,10,18337,5000,100,25,0.01,197.00,2346.14
3,10,18337,5000,100,25,0.1,182.00,2394.57
3,10,18337,5000,100,25,0.5,70.00,2510.31
3,10,18337,10000,100,1,0.001,264.00,2285.95
3,10,18337,10000,100,1,0.01,288.00,2264.40
3,10,18337,10000,100,1,0.1,218.00,2338.24
3,10,18337,10000,100,1,0.5,72.00,2459.62
3,10,18337,10000,100,5,0.001,258.00,2325.54
3,10,18337,10000,100,5,0.01,300.00,2258.80
3,10,18337,10000,100,5,0.1,225.00,2331.57
3,10,18337,10000,100,5,0.5,71.00,2422.73
3,10,18337,10000,100,10,0.001,328.00,2290.66
3,10,18337,10000,100,10,0.01,290.00,2322.68
3,10,18337,10000,100,10,0.1,229.00,2313.77
3,10,18337,10000,100,10,0.5,71.00,2464.41
3,10,18337,10000,100,25,0.001,301.00,2395.09
3,10,18337,10000,100,25,0.01,294.00,2337.40
3,10,18337,10000,100,25,0.1,269.00,2347.15
3,10,18337,10000,100,25,0.5,72.00,2515.22
